facility_id,facility_name,ownership_type,licensed_bed_count,geographic_zone,care_specialisation
FAC_0001,Pacific Care Home,Private Non-Profit,60,Vancouver Downtown/West End,General
FAC_0002,Valley Manor,Private For-Profit,77,Vancouver South,General
FAC_0003,Royal Place,Private For-Profit,65,Vancouver South,Dementia/Cognitive
FAC_0004,Heritage Terrace,Private Non-Profit,37,Richmond,General
FAC_0005,Aspen Lodge,Public,118,Richmond,Dementia/Cognitive
FAC_0006,Arbutus Care Home,Public,97,Vancouver Downtown/West End,General
FAC_0007,Cedar Lodge,Public,99,Vancouver South,Psychogeriatric
FAC_0008,Silver Manor,Private For-Profit,42,Richmond,Psychogeriatric
FAC_0009,Spruce Gardens,Private Non-Profit,134,Vancouver Westside,Complex Medical
FAC_0010,Cedar Villa,Private For-Profit,33,North Shore,Dementia/Cognitive
FAC_0011,Golden Heights,Public,89,Richmond,General
FAC_0012,Aspen Care Centre,Private For-Profit,199,Vancouver Downtown/West End,Palliative
FAC_0013,Royal Pavilion,Private For-Profit,40,Vancouver Downtown/West End,Complex Medical
FAC_0014,Valley Care Home,Public,50,Richmond,General
FAC_0015,Harbour Heights,Public,70,Vancouver Downtown/West End,Rehabilitation
FAC_0016,Arbutus Residence,Public,51,Vancouver Westside,Palliative
FAC_0017,Valley Place,Private Non-Profit,30,Sea-to-Sky,Psychogeriatric
FAC_0018,Silver Residence,Private Non-Profit,69,Vancouver Westside,Complex Medical
FAC_0019,Heritage Lodge,Private Non-Profit,39,Vancouver South,Dementia/Cognitive
FAC_0020,Cambie Lodge,Private Non-Profit,84,Richmond,Dementia/Cognitive
FAC_0021,Capilano Residence,Private Non-Profit,42,Vancouver South,Psychogeriatric
FAC_0022,Park Care Home,Public,144,Vancouver Westside,Rehabilitation
FAC_0023,Dogwood Villa,Private Non-Profit,45,Sea-to-Sky,General
FAC_0024,Pacific Care Centre,Private Non-Profit,56,Vancouver South,General
FAC_0025,Garden Villa,Private Non-Profit,100,Sunshine Coast,General
FAC_0026,Fir Terrace,Private For-Profit,36,Sea-to-Sky,Palliative
FAC_0027,Burrard Gardens,Public,74,Vancouver Midtown,Psychogeriatric
FAC_0028,Mountain Care Home,Private Non-Profit,128,Vancouver Downtown/West End,General
FAC_0029,Royal House,Private Non-Profit,29,Vancouver Downtown/West End,Dementia/Cognitive
FAC_0030,Garden Manor,Public,73,Vancouver Downtown/West End,General
FAC_0031,Heritage Care Centre,Private Non-Profit,75,Vancouver Downtown/West End,Psychogeriatric
FAC_0032,Valley Pavilion,Public,98,Richmond,Palliative
FAC_0033,Burrard Place,Public,35,Vancouver Downtown/West End,Palliative
FAC_0034,Burrard Residence,Private For-Profit,34,Vancouver Midtown,Dementia/Cognitive
FAC_0035,Silver Terrace,Private For-Profit,86,North Shore,Dementia/Cognitive
